Tank ID,Name,Tank #,Group,Type,Language,Gender,Thinking Traces,Unique Articles,Active Days,Top Interest,Top Interest Visits,Model,Overall Health (Latest)
tank-01-adam,Adam,1,Genesis Pair,Control,English,Male,7133,3699,5,Buddhism,65,,HEALTHY
tank-02-eve,Eve,2,Genesis Pair,Control,English,Female,4953,3019,4,Psychology,36,,NEEDS_ATTENTION
tank-03-cain,Cain,3,Agent Variant,OpenClaw Agent,English,Genderless,6357,2376,3,Definition,66,,HEALTHY
tank-04-abel,Abel,4,Agent Variant,Standard,English,Male,9053,4002,0,Biology,60,,HEALTHY
tank-05-juan,Juan,5,Language Experiment,Language Variant,Spanish,Male,2456,612,3,Arte,147,,HEALTHY
tank-06-juanita,Juanita,6,Language Experiment,Language Variant,Spanish,Female,2332,529,3,Arte,143,,HEALTHY
tank-07-klaus,Klaus,7,Language Experiment,Language Variant,German,Male,4401,2187,3,Philosophie,97,,HEALTHY
tank-08-genevieve,Genevieve,8,Language Experiment,Language Variant,French,Female,4372,2259,3,Kunst,88,,CONCERNING
tank-09-wei,Wei,9,Language Experiment,Language Variant,Chinese,Male,1235,8,3,数学,160,,HEALTHY
tank-10-mei,Mei,10,Language Experiment,Language Variant,Chinese,Female,1236,8,3,心理学,160,,NEEDS_ATTENTION
tank-11-haruki,Haruki,11,Language Experiment,Language Variant,Japanese,Male,1220,8,3,数学,159,,HEALTHY
tank-12-sakura,Sakura,12,Language Experiment,Language Variant,Japanese,Female,1241,8,3,芸術,164,,HEALTHY
tank-13-victor,Victor,13,Full Wikipedia,Full Wikipedia Access,English,Male,4547,2886,3,Philosophy,34,,NEEDS_ATTENTION
tank-14-iris,Iris,14,Full Wikipedia,Full Wikipedia Access,English,Female,4518,2883,3,Mathematics,41,,HEALTHY
tank-15-observer,Observer,15,Experimental,Meta-Aware,English,N/A,6539,2450,3,Definition,59,,HEALTHY
tank-16-seeker,Seeker,16,Experimental,Question-Driven / Socratic,English,N/A,6590,2495,3,Definition,58,,HEALTHY
tank-17-seth,Seth,17,Third Genesis,Late Addition,English,Male,6270,3255,3,Mathematics,53,,HEALTHY
